code,name,nmc,mktcap,maxp5
603399,吉翔股份,793067.063089,809613.663089,16.1
603398,沐邦高科,1262608.158295,1262608.158295,39.97
603396,金辰股份,1057338.92443,1058871.33823,98.35
603393,新天然气,861709.160942,971203.760157,23.83
603392,万泰生物,3005766.207755,12453941.840225,165.59
603390,通达电气,249346.071656,249346.071656,7.22
603389,亚振家居,150031.392,150031.392,5.9
603388,元成股份,370684.678,423453.6436,13.39
603387,基蛋生物,650677.962311,650677.962311,13.98
603386,骏亚科技,378534.1696,378534.1696,11.69
603385,惠达卫浴,277402.516668,286464.264606,7.68
603383,顶点软件,748546.545684,762022.566684,48.36
603380,易德龙,456936.5376,459677.4528,29.62
603379,三美股份,1796029.326854,1796029.326854,30.29
603378,亚士创能,514315.9704,518083.71,12.88
603377,东方时尚,478573.998072,478573.998072,6.94
603369,今世缘,5707975.0,5707975.0,46.88
603368,柳药集团,786759.4332,786759.4332,23.07
603367,辰欣药业,594359.04,598373.16,13.73
603366,日出东方,566716.251983,577554.8522,7.41
603365,水星家纺,358937.82,358937.82,13.65
603363,傲农生物,1009524.752742,1210708.823958,14.2
603360,百傲化学,423739.1256,429601.368,17.1
603359,东珠生态,505426.768,505426.768,11.69
603358,华达科技,863152.64,863152.64,19.89
603357,设计总院,444542.758644,457289.697684,9.94
